id,23BJ_DTA,22BJ_SHS,22BJ_DTA,23BJ_SHS,22MS_SHS,23MS_DTA,22MS_DTA,23MS_SHS,23MS_EH,23MS_EL,22BJ_EL,22MS_EH,22BJ_EH,22MS_EL,23BJ_EH,23BJ_EL
1,67.31,14.5,64.99,11.33,12.0,87.67,55.74,16.0,78.27,12.18,13.1,53.62,97.1,11.63,72.07,10.01
3,67.88,13.17,62.52,12.67,14.0,85.81,84.08,13.98,87.82,15.24,,60.61,92.86,15.42,56.46,12.86
4,68.85,13.84,59.5,11.67,11.5,89.99,83.51,14.35,74.26,12.04,13.42,59.67,73.45,14.3,69.82,13.16
5,57.9,10.67,,9.83,13.5,75.92,,13.72,51.22,13.5,14.62,36.96,48.15,13.55,30.64,12.88
6,76.66,16.5,67.51,17.67,15.0,97.5,91.28,14.33,99.09,15.01,13.92,98.8,94.85,13.09,85.7,15.82
7,74.39,14.5,68.01,14.27,11.72,103.63,90.69,,139.6,,14.14,162.79,133.85,14.42,86.53,16.5
8,78.52,14.33,67.01,14.67,14.5,90.65,56.27,14.38,114.99,14.76,16.3,90.69,111.68,19.93,69.32,16.12
9,73.47,16.0,65.02,13.67,18.0,93.58,89.62,15.99,72.47,12.78,14.59,70.77,73.69,,64.78,14.24
10,69.12,14.5,60.5,10.0,11.5,88.82,89.75,16.98,95.24,10.57,11.0,85.38,101.11,9.8,77.29,10.17
11,71.78,12.0,67.99,11.0,14.0,94.47,88.78,10.03,83.05,11.72,11.17,92.33,94.83,13.23,90.38,13.44
12,52.59,13.0,48.52,11.33,10.5,74.28,68.91,12.67,32.18,11.25,12.45,33.07,38.02,8.51,29.09,11.77
13,83.46,11.7,72.01,,16.28,101.0,93.62,11.99,,12.01,9.14,107.94,106.02,12.49,70.2,
14,70.28,13.92,66.01,14.5,14.28,90.54,82.83,10.0,51.58,8.82,12.09,55.93,63.52,12.15,73.07,11.63
16,69.88,14.83,64.52,12.0,17.0,96.59,82.25,15.07,127.3,14.39,13.84,92.27,123.36,15.28,67.54,14.41
17,68.77,12.34,62.0,11.0,12.72,88.92,88.85,11.62,84.5,17.9,16.79,74.98,78.23,15.23,76.75,15.33
18,79.13,11.67,68.01,11.27,15.0,94.97,87.96,13.03,89.94,19.02,14.67,90.06,104.51,19.08,65.23,13.48
19,56.3,13.17,52.54,12.33,13.5,79.2,72.53,13.98,62.03,15.14,14.45,53.45,73.26,15.3,62.06,13.35
20,70.33,11.0,62.53,11.33,12.0,90.99,,13.03,74.77,15.6,13.29,65.89,65.03,15.11,68.4,14.86
22,65.83,17.67,59.01,15.33,19.0,84.97,82.14,18.34,85.65,13.25,15.1,55.32,78.59,13.2,54.08,13.08
23,66.74,13.2,61.98,11.67,14.5,84.63,76.89,13.65,78.0,14.59,16.81,52.43,70.41,15.87,49.46,15.58
24,69.77,13.63,62.5,12.0,12.0,87.31,56.27,10.33,67.51,14.44,15.79,61.36,79.89,15.98,52.55,13.46
25,70.92,13.5,65.49,12.33,11.5,90.43,,11.02,76.27,10.75,13.63,65.03,73.04,12.39,63.7,12.53
26,67.19,15.67,61.99,14.33,16.0,85.0,,16.0,95.76,14.42,15.14,76.42,123.21,15.17,80.51,14.42
27,70.79,14.0,66.96,14.0,12.5,92.63,86.83,11.69,120.94,12.28,13.0,88.11,105.02,12.9,82.59,14.88
29,59.27,12.0,58.47,11.33,13.0,86.57,78.83,10.97,75.13,12.14,14.34,62.67,91.7,14.64,76.83,13.58
30,68.52,15.67,63.99,13.33,14.5,89.32,,16.67,95.89,12.72,13.77,78.86,94.28,13.19,77.08,13.97
31,68.31,10.34,60.52,10.67,9.5,86.83,84.61,9.3,71.32,14.01,14.84,60.96,83.31,13.96,64.21,16.49
32,65.7,12.84,59.99,10.0,12.5,90.0,81.78,10.59,56.52,12.57,14.42,44.83,74.09,14.43,58.04,12.54
33,60.3,15.84,58.52,16.67,14.0,85.81,80.23,16.6,84.32,11.6,11.08,69.49,93.81,10.04,77.73,9.35
34,72.74,15.83,64.99,13.67,16.5,90.06,87.95,17.32,73.17,14.63,15.5,52.91,81.12,14.72,59.84,13.58
35,72.29,14.0,66.0,12.27,17.5,89.31,,15.07,66.57,10.62,12.0,63.75,66.05,11.15,56.51,10.46
37,78.46,12.83,69.5,17.33,10.28,96.23,93.25,16.31,100.38,13.19,12.67,84.09,103.39,13.33,87.18,14.38
38,68.61,12.34,66.98,11.67,11.5,100.58,93.36,,138.6,,13.0,96.18,85.36,14.75,85.46,13.61
39,69.84,15.34,62.99,13.33,15.5,91.49,84.68,13.29,129.15,18.47,18.67,124.09,133.62,18.83,91.52,16.16
40,69.13,13.34,66.02,13.17,12.5,90.56,88.65,13.96,96.42,14.99,13.84,82.29,96.48,15.12,76.13,15.69
41,71.58,11.92,63.95,13.33,12.5,93.23,82.42,14.97,83.38,14.61,13.0,68.98,95.86,13.11,78.76,16.92
42,61.61,10.3,56.97,11.33,12.5,84.2,76.07,12.99,85.93,13.77,8.19,43.97,44.95,14.46,74.96,11.44
43,71.62,13.34,67.95,14.67,13.0,97.2,89.88,14.03,108.0,12.48,18.5,98.07,94.69,16.89,80.64,17.63
44,53.94,12.34,49.99,9.27,12.0,73.81,71.59,10.74,51.23,13.37,13.0,38.33,48.62,15.4,39.43,10.5
45,61.62,12.84,58.01,11.0,12.0,84.81,82.77,11.98,67.99,12.9,12.38,71.02,75.63,13.13,54.64,10.63
47,62.07,12.34,51.48,9.17,13.0,82.11,69.57,11.02,80.17,15.67,15.59,62.47,80.81,14.94,49.68,12.44
48,70.45,16.0,65.48,12.67,16.5,87.6,89.97,16.69,95.65,12.8,13.49,83.99,100.93,14.53,81.45,11.62
49,67.31,13.0,61.48,13.0,12.5,92.14,87.86,13.65,90.96,11.87,13.25,61.63,87.48,14.22,68.05,13.77
50,61.83,14.34,55.49,14.33,17.0,81.54,77.09,15.6,69.56,13.5,14.49,48.81,66.29,14.47,56.25,13.16
52,72.28,13.3,66.47,11.6,13.5,95.51,90.3,10.66,82.68,13.18,12.82,101.95,103.37,13.9,75.18,10.45
53,71.61,14.34,64.47,12.0,11.28,90.12,84.7,14.7,99.34,12.64,13.42,76.42,102.53,11.99,82.35,12.72
54,67.83,12.2,63.01,13.33,14.5,90.08,86.14,13.66,90.13,14.86,14.81,63.32,75.29,15.3,73.91,15.75
55,71.29,15.37,64.98,13.33,18.0,94.4,90.24,,94.44,13.74,13.14,83.62,82.93,15.58,71.87,14.16
56,71.77,15.0,63.47,11.67,11.5,91.75,,12.7,112.32,15.28,16.97,102.05,121.37,10.66,94.33,13.89
57,,12.67,57.01,,12.0,91.49,81.22,14.61,115.89,13.14,15.0,80.18,96.32,13.58,,
