ID,O.A17,O.B17,O.B18,O.H17,O.H18,P.A17,P.B17,P.B18,P.H17,P.H18,OA.A17,OA.B17,OA.B18,OA.H17,OA.H18,TotalIF.A17,TotalIF.B17,TotalIF.B18,TotalIF.H17,TotalIF.H18,TotalFA.B17,TotalFA.B18,TotalFA.H18,TotalSugar.A17,TotalSugar.B17,TotalSugar.B18,TotalSugar.H17,TotalSugar.H18,TotalTP.A17,TotalTP.B17,TotalTP.B18,TotalTP.H17,TotalTP.H18,TotalCar.B17,TotalCar.B18,TotalCar.H17,TotalCar.H18
X16NF1-2,NA,NA,NA,19.98 ,18.31 ,NA,39.86 ,NA,38.97 ,42.53 ,NA,39.04 ,NA,28.55 ,23.67 ,NA,2599.66 ,NA,4434.66 ,3425.88 ,215.09 ,NA,181.96 ,NA,12.26 ,NA,11.38 ,11.64 ,NA,221.73 ,NA,235.23 ,253.14 ,4.62 ,NA,3.01 ,5.21 
X16NF1005-1006,21.73 ,NA,19.71 ,20.82 ,17.06 ,36.96 ,41.38 ,42.11 ,40.12 ,45.04 ,19.50 ,22.11 ,NA,19.37 ,22.79 ,1318.96 ,NA,1308.11 ,2210.47 ,2152.26 ,398.64 ,433.46 ,404.11 ,8.58 ,10.70 ,10.83 ,10.39 ,10.36 ,224.27 ,211.12 ,229.19 ,248.71 ,215.32 ,7.82 ,21.02 ,4.82 ,4.14 
X16NF1007-1008,19.27 ,NA,20.76 ,20.36 ,17.36 ,39.82 ,40.97 ,40.76 ,41.79 ,47.39 ,28.79 ,23.36 ,28.55 ,19.16 ,20.23 ,1165.32 ,NA,NA,1575.21 ,1335.68 ,433.85 ,530.16 ,288.07 ,9.51 ,10.93 ,11.74 ,10.21 ,9.82 ,269.01 ,234.71 ,NA,303.67 ,233.80 ,7.79 ,25.66 ,7.06 ,5.63 
X16NF1011-1012,20.06 ,NA,20.61 ,20.66 ,19.04 ,38.15 ,NA,39.96 ,40.40 ,41.79 ,25.29 ,NA,34.03 ,18.96 ,24.63 ,869.11 ,NA,NA,2063.81 ,1288.57 ,411.73 ,516.91 ,346.01 ,10.88 ,11.15 ,11.94 ,10.64 ,10.76 ,268.62 ,224.19 ,NA,289.78 ,218.67 ,11.13 ,29.72 ,7.91 ,6.21 
X16NF1013-1014,21.13 ,NA,NA,21.07 ,18.55 ,39.41 ,39.31 ,NA,39.20 ,44.16 ,27.13 ,24.00 ,32.76 ,18.52 ,21.34 ,575.59 ,NA,NA,2310.06 ,1806.76 ,431.44 ,620.81 ,279.27 ,7.81 ,10.96 ,10.71 ,10.67 ,10.08 ,273.28 ,269.61 ,NA,313.70 ,249.79 ,6.86 ,24.90 ,4.75 ,4.51 
X16NF1015-1016,19.42 ,NA,18.86 ,19.97 ,18.14 ,42.42 ,38.49 ,45.36 ,41.56 ,44.36 ,28.08 ,18.36 ,28.87 ,15.37 ,18.19 ,798.78 ,NA,959.15 ,2799.90 ,2463.57 ,369.10 ,429.29 ,337.91 ,8.83 ,11.37 ,10.58 ,10.72 ,10.90 ,240.04 ,248.91 ,227.95 ,276.91 ,248.73 ,8.30 ,26.07 ,6.94 ,8.10 
X16NF1017-1018,20.59 ,NA,22.16 ,21.19 ,17.76 ,36.76 ,35.94 ,37.92 ,37.24 ,45.07 ,30.19 ,30.59 ,NA,23.41 ,26.00 ,737.34 ,NA,1148.05 ,1654.76 ,1076.70 ,447.18 ,515.09 ,384.83 ,9.80 ,12.27 ,11.66 ,10.92 ,9.88 ,232.42 ,223.59 ,231.68 ,259.36 ,204.75 ,8.51 ,18.60 ,4.86 ,4.92 
X16NF1021-1022,NA,21.79 ,NA,19.13 ,NA,NA,39.52 ,NA,42.11 ,NA,NA,31.43 ,29.43 ,34.77 ,NA,NA,956.31 ,NA,1177.28 ,NA,427.37 ,465.68 ,NA,NA,10.82 ,9.56 ,10.00 ,NA,NA,213.35 ,NA,222.46 ,NA,11.20 ,28.23 ,4.76 ,NA
X16NF1023-1024,19.18 ,20.83 ,17.85 ,18.11 ,NA,40.12 ,40.89 ,48.19 ,46.69 ,NA,35.10 ,27.05 ,NA,28.85 ,NA,644.32 ,1167.19 ,NA,1207.12 ,NA,446.73 ,465.54 ,NA,8.37 ,10.17 ,9.99 ,9.71 ,NA,175.34 ,219.56 ,NA,231.18 ,NA,8.86 ,23.31 ,5.63 ,NA
X16NF1025-1026,NA,NA,20.49 ,21.78 ,18.09 ,NA,38.97 ,41.40 ,38.87 ,43.57 ,NA,29.16 ,NA,22.11 ,23.45 ,NA,1191.63 ,NA,1880.32 ,1149.38 ,381.25 ,484.06 ,291.81 ,NA,12.41 ,11.42 ,10.76 ,10.74 ,NA,217.14 ,NA,237.65 ,201.81 ,8.16 ,19.50 ,6.17 ,3.92 
