Taxa,TotalIF21SY,TotalIF21CP,O20SY,TotalFA20SY,P21SY,TotalFA21SY,TotalIF20SY,O20NK,P21CP,TotalIF20NK,O21SY,TotalFA20NK,P20SY,TotalFA21CP,O21CP,P20NK
G1,5522.18,5185.73,19.92,332.39,40.58,494.16,4578.23,19.33,,3435.93,20.31,436.46,42.16,460.94,,41.62
G10,,3506.75,20.65,301.6,,,4480.72,21.56,41.13,1686.61,,384.29,41.83,444.42,20.58,39.42
G100,4349.31,4086.18,20.73,281.88,41.63,469.36,4195.2,18.88,42.11,1342.46,20.47,269.02,42.46,404.59,20.23,42.6
G101,4896.38,4881.49,20.49,281.89,41.43,393.33,4406.29,18.09,40.24,1697.03,20.32,415.21,42.63,374.46,20.81,41.61
G102,3587.4,2929.13,18.98,304.21,42.58,548.27,5111.75,19.44,43.76,2338.69,18.29,386.69,45.28,478.83,18.9,39.3
G103,4877.77,3837.74,20.27,387.78,40.93,675.99,4769.98,,42.2,597.94,20.58,464.55,42.88,596.37,20.03,
G104,3365.32,3942.34,20.49,278.97,,438.6,3621.73,,42.4,,23.54,,43.12,349.33,19.89,
G105,5576.22,3609.5,20.94,288.02,40.21,459.62,4149.28,20.43,39.63,1106.04,20.59,406.23,41.44,364.7,21.08,43.32
G106,4748.38,3404.05,21.13,320.45,41.1,547.32,5710.02,20.07,41.29,2500.18,20.01,481.94,40.62,435.17,20.15,37.79
G107,4666.72,3977.57,19.77,257.66,39.77,498.39,5175.58,21.25,41.15,1447.0,20.56,431.23,43.32,386.62,20.1,41.12
G108,4179.12,3690.05,20.49,260.78,,473.08,3959.31,,42.08,2421.62,,275.65,41.25,464.12,19.59,
G109,3854.19,3285.4,21.67,246.7,39.37,444.16,3592.11,21.06,41.44,3018.16,20.88,330.29,41.13,407.24,21.32,42.4
G11,5629.56,5601.88,21.05,332.51,41.07,566.0,5122.86,,40.3,2623.05,20.78,577.23,40.68,456.62,20.89,
G110,5561.58,4900.0,,277.95,40.9,490.46,5674.73,20.15,42.31,2952.05,20.79,541.48,,389.28,19.87,40.08
G111,4582.79,4274.43,20.7,294.73,41.83,529.38,5254.82,21.49,41.52,3395.2,19.48,324.35,41.81,396.12,20.53,40.56
G112,4881.12,4709.04,21.33,279.13,42.86,457.64,5512.3,19.4,39.79,1651.84,21.12,432.0,42.72,453.0,20.36,40.58
G113,3985.75,3836.64,19.19,302.82,43.76,573.32,2516.79,,43.6,,19.49,,43.1,368.93,19.25,
G114,4872.95,3954.4,20.6,260.45,,481.82,6651.69,19.66,44.55,1207.33,19.82,430.67,41.28,429.81,19.73,42.78
G115,4139.67,4416.22,19.96,235.59,43.33,480.42,5181.92,,43.8,,19.38,,45.0,389.08,19.97,
G116,4826.61,1590.14,20.36,251.5,45.83,525.87,4082.64,21.52,40.15,1423.72,19.24,412.92,43.86,432.97,20.88,37.0
G117,4856.94,2385.28,21.47,354.38,,446.48,4676.54,,42.06,,19.54,,40.47,415.23,20.37,
G118,3510.5,3432.14,20.42,297.62,42.2,443.13,3194.47,20.59,40.87,1755.59,19.87,405.69,42.12,385.92,20.68,40.84
G119,3987.32,3651.05,22.02,400.82,40.95,454.6,3793.84,20.88,44.06,2457.86,20.52,331.79,39.53,412.65,19.71,39.44
G12,4218.64,3803.52,19.96,267.29,43.16,423.94,9026.4,19.02,41.65,1716.65,19.75,438.11,43.92,381.76,19.64,41.14
G120,5218.31,4140.49,21.04,314.56,41.65,419.86,4878.94,19.91,43.28,2188.5,20.26,361.05,41.85,444.28,19.03,41.33
G121,4284.37,3190.85,,319.27,41.99,406.84,3808.92,19.83,41.2,2485.98,19.94,894.49,,482.99,19.53,38.89
G122,4151.61,3304.3,20.29,432.79,41.35,723.82,4749.71,20.37,42.17,2550.19,19.14,434.68,43.03,862.59,20.3,40.9
G123,4018.93,4106.14,20.96,367.41,42.63,544.3,4501.67,,42.34,,20.21,,42.23,468.07,20.1,
G124,5254.74,2881.73,20.26,276.41,42.35,377.87,4487.57,21.32,40.87,3084.32,19.55,330.77,43.1,357.89,21.27,37.41
G125,4043.05,3051.45,21.4,359.86,43.46,432.33,4664.31,20.92,40.7,1800.14,20.08,338.49,41.9,441.32,20.97,40.77
G126,4062.65,,21.24,402.51,42.21,437.62,4684.29,21.29,,1641.63,20.4,376.99,41.62,574.18,,39.99
G127,6716.66,4812.36,20.36,287.7,40.23,358.53,5065.95,20.86,41.35,4277.44,19.83,334.78,41.97,460.2,19.9,38.37
G128,4220.64,3096.06,21.38,271.01,41.14,358.07,4217.7,21.52,40.46,1857.41,21.36,265.6,42.64,,21.45,38.21
G129,4252.3,6320.3,20.37,377.46,41.51,491.81,5233.09,19.96,40.81,3399.23,20.26,508.99,42.31,407.16,20.63,40.74
G13,2471.94,2097.07,20.21,246.86,42.96,517.26,2453.32,,42.15,,20.09,,42.21,479.79,20.7,
G130,4304.78,1412.25,21.23,266.36,42.07,451.6,3422.78,19.65,41.13,679.56,20.33,297.82,41.46,369.28,19.61,40.05
G131,5680.36,4868.8,20.09,331.28,41.12,372.28,5787.54,,41.95,,20.08,,42.87,,19.22,
G132,5357.88,3974.87,20.84,277.93,40.54,418.9,4141.19,18.37,42.71,2090.28,20.6,364.39,41.54,375.81,20.53,43.94
G133,4939.72,4720.25,20.08,274.91,43.21,394.18,4661.99,20.4,40.81,3275.08,19.7,358.54,42.61,393.67,20.57,38.38
G134,5021.06,4063.82,20.46,276.27,42.28,377.81,4129.11,20.25,43.43,3929.52,19.92,343.4,41.21,381.45,19.0,40.01
G135,4940.31,3704.37,22.26,292.3,41.22,401.1,4422.4,,38.86,,21.6,,38.93,383.57,22.4,
G136,4349.45,3030.69,21.76,349.85,41.57,384.5,4606.92,,38.56,,20.3,,39.93,398.59,21.62,
G137,4250.17,2927.34,21.36,294.12,42.24,382.41,4807.56,20.14,41.04,1673.52,21.0,430.95,41.09,424.95,21.58,38.53
G138,4120.23,3070.95,20.01,259.15,41.97,350.16,4712.87,,41.54,,19.94,,43.34,352.79,20.84,
G139,3838.34,3062.4,20.78,247.65,43.36,367.08,3987.78,20.83,41.98,1602.52,20.3,336.99,43.49,394.27,21.27,40.63
G14,3818.03,3618.33,19.34,273.36,43.61,436.51,5132.76,,42.55,,18.68,,43.4,492.66,18.58,
G140,7573.94,5770.72,20.87,345.11,41.36,425.47,6053.18,,41.16,,20.4,,41.06,502.75,20.65,
G141,4619.73,3631.07,21.5,285.3,42.03,407.73,5138.86,19.97,40.99,1774.26,20.39,318.88,39.74,390.98,20.51,39.97
G142,4861.56,4770.47,20.37,262.77,42.87,321.88,4531.39,20.88,43.67,1813.49,19.29,317.15,42.06,339.32,19.25,40.47
G143,5892.68,4453.1,20.73,343.66,41.49,495.8,5781.63,,42.95,2497.4,19.5,506.66,40.97,406.74,19.11,
G144,4258.47,3343.98,20.42,322.59,43.73,399.44,4493.39,20.37,44.4,6026.29,18.51,667.94,42.4,377.76,18.32,40.93
G145,4625.43,4269.7,20.5,297.58,44.15,389.66,4352.84,19.82,42.96,2802.6,18.74,345.84,43.03,379.77,19.6,41.7
G146,3926.68,3541.87,20.02,274.05,45.25,355.51,4449.1,20.83,43.35,1707.86,18.93,408.68,43.98,355.5,20.02,44.03
G147,2868.63,2084.6,20.51,208.92,41.29,367.32,3928.91,,43.73,,20.24,,42.83,368.5,19.99,
G148,3549.25,3372.32,22.07,212.13,41.95,379.65,4732.15,,41.4,,21.09,337.62,39.75,380.09,20.85,
G149,4817.45,3857.89,21.4,206.85,39.82,404.46,4999.38,,38.63,,20.78,,39.86,365.77,21.51,
G15,4086.84,3464.4,20.94,236.07,41.92,385.72,5504.31,,41.11,,20.37,,43.4,422.55,21.19,
G150,3311.36,3005.41,19.82,227.86,44.97,478.32,3700.76,19.06,41.74,1489.44,19.09,367.1,43.38,385.44,19.85,43.13
G151,3797.03,2735.3,21.06,275.9,41.6,468.29,3860.91,,40.91,,20.62,,41.98,499.84,21.49,
G152,3956.86,2993.75,19.78,268.25,42.94,422.45,5133.35,,42.64,,19.9,,43.54,520.41,19.87,
G153,5966.33,5412.5,20.13,222.04,42.7,355.03,6130.63,19.48,43.46,1373.98,19.63,360.12,42.98,456.05,19.57,42.24
G154,4553.96,3525.6,20.56,198.6,43.28,407.9,4304.23,21.45,44.36,3486.0,19.76,357.17,42.51,445.38,19.59,38.62
G155,5641.86,3897.05,19.83,201.68,43.93,296.53,4434.73,,44.17,,19.69,,44.03,431.77,19.85,
G156,6251.48,4565.67,20.06,201.44,41.99,374.27,6785.09,19.51,44.47,3426.45,20.16,320.41,42.95,421.2,19.95,43.19
G157,6383.16,4792.8,20.64,423.13,41.39,387.84,5850.32,,42.67,,19.99,,40.79,478.32,19.81,
G158,6644.5,4970.77,21.38,431.96,43.11,385.91,5672.38,20.76,41.2,2930.9,19.4,527.38,40.45,463.2,21.1,40.2
G159,5674.2,5144.84,20.86,403.63,42.71,455.59,5573.22,21.37,41.99,1135.64,20.01,424.04,41.55,629.85,20.83,37.32
G16,5460.61,5109.6,20.69,274.4,40.78,348.44,5453.94,,41.06,,20.45,,39.28,340.16,20.15,
G160,4233.19,3611.86,20.87,503.13,43.13,291.47,5225.09,19.45,42.55,4373.14,20.0,588.4,40.45,445.71,20.33,41.84
G161,4536.43,4165.13,21.34,401.68,42.31,410.14,5898.45,20.93,40.87,2832.07,19.93,402.99,40.35,459.49,20.79,40.31
G162,4678.06,4249.52,22.26,397.31,38.07,426.03,5132.16,20.57,38.73,3274.89,22.34,387.96,38.99,364.12,22.14,39.44
G163,5709.24,5580.01,19.99,433.96,42.49,519.46,5866.84,,42.69,,19.78,,42.71,428.68,20.32,
G164,5846.46,5348.21,20.34,456.91,42.0,330.78,5829.93,,40.66,,20.15,,43.03,358.99,20.74,
